year,claim,ret,dgrowth,pd
1930,Growth,-0.23251762170972512,-0.102115013101366,17.379747752888555
1931,Growth,-0.28166404721281313,-0.010798599561464783,11.886001767751267
1932,Growth,0.01120488041679768,-0.173234890263945,13.204281745376992
1933,Growth,0.4456063275566875,-0.12720574940571194,20.51664890804271
1934,Growth,0.06025249908821251,-0.060838304502715546,22.046491635162443
1935,Growth,0.40666089141823414,0.03328408798824689,28.775679293539223
1936,Growth,0.26447840175636905,0.4463984279431962,22.19683607002246
1937,Growth,-0.3620075901831278,0.009253742106540536,13.235073809235637
1938,Growth,0.39044039916290885,-0.5651171026241227,31.183729378607396
1939,Growth,0.061104865680002174,0.3694783336530477,21.777468173464772
1940,Growth,-0.10614565271198018,0.06741737974547846,17.195009170977904
1941,Growth,-0.17420613610340985,-0.041401600358788926,13.850279125824898
1942,Growth,0.035969359923189614,-0.42135369340191997,20.705586338254893
1943,Growth,0.08049007147330922,-0.10427506634503703,23.810647758718613
1944,Growth,0.10570890267733168,0.015490525193051163,24.856119662478257
1945,Growth,0.2842496916197106,-0.0433885628041758,32.19378177944061
1946,Growth,-0.1553324293555729,0.023282754438957443,25.6308689071787
1947,Growth,-0.061716565198499884,0.08287185096366168,21.109312980997192
1948,Growth,-0.031358963465476175,0.13303279027731252,16.877962948525298
1949,Growth,0.27062703658627285,0.1864194012854209,16.638140984095884
1950,Growth,0.23507339921600545,0.22217148464717434,15.361163466161607
1951,Growth,0.12940842379806528,-0.2377460438238208,20.934244713141588
1952,Growth,0.0842742038203228,-0.029286139516530307,22.303467974501476
1953,Growth,0.02827352698278407,-0.0017862580030146846,21.915535933868238
1954,Growth,0.4147298074954211,0.04504401780444034,28.47514020379176
1955,Growth,0.19163629612377808,0.073477060405436,30.447949408168114
1956,Growth,0.03282648630584206,0.025404843464494953,29.651109507984785
1957,Growth,-0.10032345410687182,0.011433538436370683,25.43873457408517
1958,Growth,0.4202157666325217,-0.032307599296830636,36.114945243233414
1959,Growth,0.0780468436620545,0.0026524333778462084,37.79171569580279
1960,Growth,0.07692272127578414,-0.01221103271915941,40.13654602620106
1961,Growth,0.21355035631331898,-0.011037925808454419,48.19946277360153
1962,Growth,-0.16371295979863654,0.04363838447826551,37.57384889669415
1963,Growth,0.1516662031358489,-0.043427327338291355,44.13023128507324
1964,Growth,0.16203240382356165,0.21282790887922817,40.39651121255432
1965,Growth,0.13751953299954356,0.17421340040002237,37.539643205273904
1966,Growth,-0.13502722119435417,-0.09098900557820623,34.59458963524767
1967,Growth,0.2789099633397909,-0.22014408073679384,54.041504497802016
1968,Growth,0.006332846703791084,-0.17980236193760207,64.06030873586323
