year,claim,ret,dgrowth,pd
1930,small,-0.47348331808577626,-0.23075935854313978,25.701129750281485
1931,small,-0.46432702624274436,-1.3413527752810037,52.21085576602328
1932,small,0.19573576697810036,1.0435267832750896,20.670309843646546
1933,small,1.8161537840229025,-3.9394867132536016,2990.053427673144
1934,small,0.24515132835741849,2.699084353115199,249.48848436625602
1935,small,0.6574509133208712,-0.6910273884158182,823.2787836488651
1936,small,0.7456853649814914,2.387292253734241,130.9576416644051
1937,small,-0.5524059199637255,0.4759974161788514,35.76897657077199
1938,small,0.1948278854736536,-0.9145429813040655,105.45792593566787
1939,small,-0.03836495539375828,-0.18883902896690663,121.46165203945233
1940,small,-0.15492496595573402,0.5506920097978754,58.22477923367825
1941,small,-0.17265846878151714,0.7578688715229809,21.678951429936852
1942,small,0.23192067203755795,0.1543859565168859,21.792567221194734
1943,small,0.9317677463011049,0.3946358504479224,27.322142523328978
1944,small,0.5316192193727658,0.40933034238475324,26.625355156069414
1945,small,0.7324758463654153,0.14030438398680228,38.78552856817603
1946,small,-0.18520255217484638,0.1898124234940728,25.23791938725557
1947,small,-0.10389317829356182,0.17439487660493247,17.97051560594529
1948,small,-0.1099519793248126,-0.016357579663658472,15.334667763666111
1949,small,0.22210455416678676,-0.15832026182773906,20.815132815653502
1950,small,0.446728757420088,0.3242464833752353,20.591073578072947
1951,small,-0.0037699643554196527,0.04236920566306024,18.65027246466676
1952,small,0.029138776439437075,-0.023836467981078857,18.619471418655003
1953,small,-0.0701175315746636,-0.06527223406044647,17.5323425708622
1954,small,0.6231401309762208,-0.04710505946255805,28.54570502041532
1955,small,0.23492596789800113,0.20279077447746596,27.713690529870952
1956,small,0.033594703758850875,0.19084245986903858,22.65958253293861
1957,small,-0.17063538460068883,-0.02718262151431583,18.440116350125592
1958,small,0.6139740580579083,-0.15906313283759754,33.65721658438004
1959,small,0.19773877265571294,0.13254574514504092,34.26813741144383
1960,small,-0.06436668830647607,0.020762308039870447,30.409859033142478
1961,small,0.2784001701722181,0.009969343507384876,37.44017910527419
1962,small,-0.12521215960151966,-0.09075489218775701,34.88499357106612
1963,small,0.16783646458651202,-0.026176346393909533,40.819856045272424
1964,small,0.17594801815333638,0.05780884012988996,44.25614378899554
1965,small,0.37671419640987325,0.11474242674906265,53.14770776417444
1966,small,-0.08954639954852328,0.15246908496450362,40.606387220552584
1967,small,0.9875893773870703,0.24776402127450137,61.7107490355741
1968,small,0.4480468263460182,0.11966891278026881,78.05687348213173
1969,small,-0.3465749211798006,-0.023285220066730394,51.35274327834802
1970,small,-0.21132701629865658,-0.16567588273445,46.75691377302442
1971,small,0.1251582319585165,-0.24063445475617873,65.92679902628572
1972,small,-0.031511878210638056,-0.03639230749392253,65.28666904662612
1973,small,-0.41720857123261434,-0.049528060342616476,39.159451174153595
1974,small,-0.34228239516125025,-0.020672800030852256,25.485453466564525
1975,small,0.47596653534636624,0.1191879837430383,32.35728877208136
1976,small,0.41101968264826794,0.16716867444600814,37.51850348095385
1977,small,0.19337698269717785,0.16607895138403705,36.80672124635474
1978,small,0.16696584463387287,0.19920261538335993,34.18542334999305
1979,small,0.2948989167536753,0.12559583565148658,37.91209286845605
1980,small,0.2643185071954506,0.05180357437891647,44.297692015802454
1981,small,-0.0999341409425003,0.034483648849867876,37.563487642738544
1982,small,0.20600746553480076,-0.10002308367588686,48.80519798791802
1983,small,0.28762748233621416,-0.011521061595964888,62.56757134672737
1984,small,-0.1362873523416469,-0.0652775552867273,56.711045398372534
1985,small,0.24531481759123341,-0.17708978415412902,83.22186361615532
1986,small,0.0137483054708738,-0.1313504002254,95.28550329196989
