year,dc
1930,-0.0529997076189197
1931,-0.023745688168885337
1932,-0.08823525074729588
1933,-0.02137980956972818
1934,0.061669875784632566
1935,0.04163859411501036
1936,0.0857902514899731
1937,0.025225089964024505
1938,-0.0006505566675425456
1939,0.03439551327017121
1940,0.03227392517768379
1941,0.04846586348206827
1942,0.008353247491978522
1943,0.0162903591464314
1944,0.020513776011096496
1945,0.046331813874889605
1946,0.0608934459261512
1947,-0.021731012996156096
1948,-0.0032600992691236286
1949,0.0006224768379698986
1950,0.019811680638296636
1951,0.013283716965243997
1952,0.02231249749822517
1953,0.01772657064691785
1954,0.004963772019490165
1955,0.03237191481302126
1956,0.021490955990696392
1957,0.007169501091786046
1958,0.003716408000991933
1959,0.02885831880093015
1960,0.004634251945036638
1961,0.009885184531009727
1962,0.0212220299966539
1963,0.015022163362031549
1964,0.0368540788185463
1965,0.038636364783782184
1966,0.04020339593502875
1967,0.01804992066479727
1968,0.0356937193532314
1969,0.0240499061672228
1970,0.017368656257565007
1971,0.012482707110212488
1972,0.03580144645080274
1973,0.026427803399622363
1974,-0.01482555603760538
1975,0.011499271960884627
1976,0.03475905816234537
1977,0.02054257426486661
1978,0.029172009365907137
1979,0.016520346734362867
1980,-0.005084641094644127
1981,0.0038695083198403424
1982,0.005468359444545712
1983,0.03134789506152824
1984,0.03044821888401561
1985,0.03031618544332204
1986,0.023751442370041786
1987,0.02094843713781991
1988,0.025491576002067973
1989,0.019446437997921784
1990,0.008770111956945215
1991,-0.007205128846559994
1992,0.015832154154647782
1993,0.014769363326297302
1994,0.022113804607398535
1995,0.014831008270816959
1996,0.016845639558638048
1997,0.018185464085181735
1998,0.028823141379975326
1999,0.03290651566468039
2000,0.028957342658209484
2001,0.009398526227622384
2002,0.008571229596954666
2003,0.019096618409800037
