year,rf
1930,0.004504444636162924
1931,0.008413295668546589
1932,0.009799293477956706
1933,0.004777138471830014
1934,-0.0025673502497707257
1935,-0.0019357399508824619
1936,-0.0006777816973817185
1937,-0.00274220868864603
1938,0.0017519801308794522
1939,0.0011115541336372547
1940,-0.0005141225013708834
1941,-0.004754468697568774
1942,-0.00833190989346643
1943,-0.004486566078793236
1944,-0.0009914823875510805
1945,-0.0016086973936647586
1946,-0.006275452314575501
1947,-0.010862076363892791
1948,-0.005475719764054259
1949,0.00173923836326149
1950,0.00011181519155451956
1951,-0.005008176086978689
1952,-0.0003169808184762079
1953,0.0011351276673225769
1954,0.0006699131183851345
1955,0.0015752133248397493
1956,0.001021322394887055
1957,0.00034987225958715173
1958,-0.0005563682464359052
1959,0.0021078174976636057
1960,0.001961484199584913
1961,0.0011627051380018215
1962,0.001427778749560877
1963,0.0016467744266034031
1964,0.002034630261571223
1965,0.0019996466335361154
1966,0.0017947747547977665
1967,0.0015728646087538652
1968,0.0010317119911244094
1969,0.001213307582607652
1970,0.0015653331713537221
1971,0.0005237751673130291
1972,0.0007541296988465177
1973,0.0008061136686940597
1974,-0.0018859959465239162
1975,-0.0017780282224057213
1976,-4.0459083779719524e-05
1977,-0.0008440019234377409
1978,-0.00019057309635764512
1979,-0.00040946681627779014
1980,-0.0006719586895582705
1981,0.004580102990857697
1982,0.005409389836749788
1983,0.004825671751361604
1984,0.005310748510115977
1985,0.0039411931233084225
1986,0.00389207418089977
1987,0.002373234382644795
1988,0.0022215659334114232
1989,0.003300960353519657
1990,0.002398530573149932
1991,0.0017021211022457024
1992,0.000722216288208018
1993,0.00023852291961089003
1994,0.0013535960438355095
1995,0.002636300919323806
1996,0.0019919603576783007
1997,0.002543849083954872
1998,0.003032491181121434
1999,0.002205543770442126
2000,0.0022268660697008923
2001,0.001337024792588485
2002,0.00016678046701321697
2003,-0.0009066746288155692
